Item No.,1A,1B,2,3,4,5,6,7,8,9,,,,,,,,,10,11,12,13,,,,,,,14,,,,15,,,,,16,,,,,17,,,,,,,,,,,,,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,,,,,,,
Ques ID,Location,District,Age (Yrs),Sex,Education,Religion,Occupation,PersonNum,DogNum,PurSecurity,PurHunt,Pur Livest,PurPet,PurRecrt,PurExer,PurBreed,PurFood,PurOths,DogMove,Dog Bite,Heard Before,SourceSCH,SourceNews,sourceSocMed,SourceMass,SourceInternet,SourceFace,SourceOthers,OwnDog,Vaccinat,Year,Booklet,RabiesDog,RabiesCat,RabiesCattle,RabiesBat,RabiesDK,TransBite,TransScratch,TransInhale,TransSaliva,TransDK,SignBite,SignOff,SignGrowl,SignFoam,SignTail,SignSaliva,SignMouth,SignObject,SignAimless,SignRestless,SignVoice,SignPhobia,SignStare,SignUncon,SignFear,SignDK,BiteAction,SeekHelp,AnimMan,DogVacc,Dog Only,Oth Animals,Bite Only,Dog Saliva,Washing,Trad Heal,Local,Stray Bite,Own Bite,Vacc Bite,Wild Bite,Vacc Good,Fatal,Afford Cost,Fee Reason,Free roam,Stray Prob,Pop control,Onset Treat,World Day,Kill strays,Report Outbreak,Kill own,VSD Vacc,Good job,Support,Community,Information,Vacc Control,,,,,,,,,,,,,,
56,WINDY RIDGE,1,17,1,1,2,1,15,4,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,4,1,2,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
57,WINDY RIDGE,1,26,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,1,1,1,2016,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,1,1,1,1,0,1,1,2,0,2,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
58,NO. 1,1,38,1,3,1,6,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,
59,WINDY RIDGE,1,29,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,WINDY RIDGE,1,65,1,3,1,2,12,3,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,1,0,1,1,2018,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,2,0,1,,,,,,,,,,,,,,
61,WINDY RIDGE,1,24,1,2,1,2,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,2,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,
62,WINDY RIDGE,1,56,0,3,1,6,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,0,1,1,0,1,,,,,,,,,,,,,,
63,WINDY RIDGE,1,28,1,3,1,1,5,0,0,0,0,0,1,1,0,0,0,2,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,
64,WINDY RIDGE,1,18,1,2,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,1,2,2,2,2,1,1,1,2,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
65,WINDY RIDGE,1,27,0,0,1,5,4,1,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,WINDY RIDGE,1,24,1,3,1,1,8,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1,1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,2,2,1,2,2,0,2,1,0,0,1,1,2,2,1,0,1,0,2,0,0,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,
67,WINDY RIDGE,1,61,1,3,1,2,12,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,1,2017,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
68,WINDY RIDGE,1,86,1,3,1,2,3,2,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,2018,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,2,1,1,1,1,1,1,2,1,0,2,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
69,WINDY RIDGE,1,29,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2,1,2,0,2,2,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
70,WINDY RIDGE,1,61,1,2,1,2,2,0,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
71,WINDY RIDGE,1,43,1,2,1,6,8,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
72,WINDY RIDGE,1,16,0,1,1,1,9,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,1,2,0,0,2,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,0,1,1,1,1,2,1,,,,,,,,,,,,,,
73,WINDY RIDGE,1,35,1,2,2,6,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,2,1,1,0,1,,,,,,,,,,,,,,
74,WINDY RIDGE,1,35,1,1,1,2,8,2,0,0,0,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,NEW TADI,1,24,1,2,1,2,6,0,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,1,2,1,1,0,1,0,0,1,2,1,1,1,1,1,1,2,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,
76,QUARTERS,1,19,0,3,1,1,5,1,0,0,0,1,0,0,0,0,0,5,0,1,1,1,1,1,1,0,0,1,1,2017,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,4,1,1,1,2,2,0,2,0,0,2,1,1,1,1,1,1,1,1,0,0,1,2,0,1,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,
77,NEW TADI,1,19,1,2,1,6,2,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,
78,SEKONDI,1,25,0,2,1,6,10,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,2,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,
79,KANSARODO,1,13,1,1,1,1,7,2,0,0,0,1,0,1,0,0,0,5,0,1,1,0,0,0,0,0,0,1,1,2018,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,
80,CHAP. HILL,1,23,1,2,1,6,4,2,0,0,0,1,1,0,0,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CHAP. HILL,1,15,0,2,1,1,6,2,0,0,0,1,0,1,0,0,0,3,0,1,1,0,0,1,0,1,0,1,1,2017,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,4,2,1,1,0,1,0,1,2,2,2,1,1,0,1,1,1,1,1,0,0,1,2,0,0,2,0,1,1,1,0,1,1,,,,,,,,,,,,,,
82,SEKONDI,1,20,1,3,1,1,8,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,2,0,0,0,0,0,0,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,
83,SEKONDI,1,52,0,3,1,6,4,0,0,0,0,1,1,0,0,0,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,2,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,
84,WINDY RIDGE,1,16,0,1,1,1,6,4,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,1,0,1,0,0,0,0,0,2,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,
85,WINDY RIDGE,1,16,0,1,1,1,4,10,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,2,1,0,0,1,2,1,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,
86,TAKORADI,1,32,0,1,1,2,24,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1,1,1,0,1,2,0,2,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,
87,NEW TADI,1,18,1,1,1,1,7,2,0,0,0,1,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,1,1,0,1,1,1,0,1,1,1,1,2,1,1,1,2,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,,,,,,,,,,,,,,
88,QUARTERS,1,22,1,3,1,1,8,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,2,2,2,0,2,2,1,1,1,1,1,1,2,1,0,1,1,2,0,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,
89,CHAP. HILL,1,28,0,3,1,3,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,,,,,,,,,,,,,,
90,NEW TADI,1,32,1,2,1,2,16,0,0,0,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,4,1,1,1,0,1,0,1,1,2,1,1,1,1,1,1,2,2,1,0,0,1,2,0,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,
91,QUARTERS,1,20,1,1,1,2,20,0,0,0,0,1,0,0,0,1,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,
92,SEKONDI,1,,1,3,1,2,,0,0,1,0,0,0,0,1,0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,1,1,1,1,2,0,1,2,2,2,1,1,1,1,1,1,2,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,
93,TAKORADI,1,30,1,3,1,0,5,2,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,1,1,0,0,1,1,2018,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,1,0,1,0,1,2,0,2,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,2,1,2,0,1,,,,,,,,,,,,,,
94,NKOROFUL,1,21,1,3,1,1,11,0,0,1,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,0,1,0,1,1,2,1,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,0,0,0,1,0,2,1,,,,,,,,,,,,,,
95,WINDY RIDGE,1,17,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,2,1,0,1,2,0,2,1,1,1,1,1,2,1,0,0,1,1,2,2,2,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,
96,WINDY RIDGE,1,23,0,2,1,1,7,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,1,0,1,2,0,2,1,1,1,1,1,1,2,1,0,0,1,1,2,2,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,
97,SEKONDI,1,,1,2,1,3,5,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
98,APREMDO,1,25,1,3,1,0,5,0,0,0,0,1,0,0,0,0,0,,0,1,1,1,,1,,,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
99,TYPE C,1,38,1,3,1,2,6,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,1,0,0,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,2,1,0,0,2,,,,,,,,,,,,,,
100,APREMDO,1,37,1,3,1,2,10,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,
101,WINDY RIDGE,1,24,0,3,1,1,2,0,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,
102,QUARTERS,1,40,1,2,1,3,6,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,1,1,2017,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,2,1,1,0,1,1,2,1,2,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,
103,NEW TADI,1,26,1,3,1,3,6,2,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,0,0,1,,,,,,,,,,,,,,
104,MEXICO RD,1,21,1,2,1,6,14,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,1,1,0,1,0,2,0,1,1,1,1,1,1,0,2,1,1,0,1,1,0,2,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
105,NEW TADI,1,17,1,1,1,6,2,0,0,0,0,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,QUARTERS,1,25,0,3,1,6,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,1,0,1,1,0,0,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,0,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
107,TOP TEN,1,28,0,2,1,2,4,0,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
108,KWEIKUMA,1,58,0,1,1,5,2,0,0,0,0,1,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,0,1,2,0,1,,,,,,,,,,,,,,
109,BEACH RD.,1,65,1,3,1,6,1,1,0,0,0,1,0,0,0,,0,3,1,1,1,1,0,1,0,1,0,1,1,2018,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,2,1,0,2,1,0,0,2,1,1,2,2,1,1,0,0,,,,,,,,,,,,,,
110,SEKONDI,1,13,0,1,1,1,10,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,NEW TADI,1,48,1,2,1,0,15,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
112,TAKORADI,1,14,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,TAKORADI,1,49,1,3,1,3,6,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,4,1,2,1,0,2,0,1,1,2,2,1,1,1,1,1,1,1,0,0,2,2,2,2,2,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,
114,WINDY RIDGE,1,15,1,2,1,1,5,4,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,1,1,2015,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,,,,,,,,,,,,,,
115,ESSIPON,1,42,0,3,1,2,4,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1,2017,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,
116,ESSIPON,1,11,1,1,1,1,4,1,0,0,0,1,0,0,0,1,0,5,0,1,1,0,0,0,0,0,0,1,1,2017,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,0,2,2,2,2,2,1,1,1,1,1,0,1,1,0,2,1,2,0,2,1,2,0,0,1,1,1,1,,,,,,,,,,,,,,
117,MEPEASEM,1,39,0,2,1,3,7,0,0,0,1,0,0,1,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,4,1,1,1,1,0,1,0,1,2,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,
118,MEPEASEM,1,20,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,1,2,0,0,0,1,1,2,1,1,1,1,1,0,1,1,1,0,2,1,1,2,1,1,0,2,1,,,,,,,,,,,,,,
119,KETAN,1,27,0,3,1,0,4,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,2018,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,4,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,2,1,2,1,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
120,ESSIPON,1,48,0,1,1,5,7,3,0,0,0,1,1,1,0,0,0,5,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,4,1,2,1,2,1,2,2,2,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,2,1,2,1,1,,,,,,,,,,,,,,
121,ISRAEL,1,21,1,3,1,1,5,0,0,0,0,1,0,0,0,0,0,5,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,1,2,2,2,1,0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,2,1,2,0,1,,,,,,,,,,,,,,
122,SEKONDI,1,54,1,1,1,6,1,1,0,0,0,1,1,1,1,0,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,4,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,
