Item No.,1A,1B,2,3,4,5,6,7,8,9,,,,,,,,,10,11,12,13,,,,,,,14,,,,15,,,,,16,,,,,17,,,,,,,,,,,,,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,,,,,,,
Ques ID,Location,District,Age (Yrs),Sex,Education,Religion,Occupation,PersonNum,DogNum,PurSecurity,PurHunt,Pur Livest,PurPet,PurRecrt,PurExer,PurBreed,PurFood,PurOths,DogMove,Dog Bite,Heard Before,SourceSCH,SourceNews,sourceSocMed,SourceMass,SourceInternet,SourceFace,SourceOthers,OwnDog,Vaccinat,Year,Booklet,RabiesDog,RabiesCat,RabiesCattle,RabiesBat,RabiesDK,TransBite,TransScratch,TransInhale,TransSaliva,TransDK,SignBite,SignOff,SignGrowl,SignFoam,SignTail,SignSaliva,SignMouth,SignObject,SignAimless,SignRestless,SignVoice,SignPhobia,SignStare,SignUncon,SignFear,SignDK,BiteAction,SeekHelp,AnimMan,DogVacc,Dog Only,Oth Animals,Bite Only,Dog Saliva,Washing,Trad Heal,Local,Stray Bite,Own Bite,Vacc Bite,Wild Bite,Vacc Good,Fatal,Afford Cost,Fee Reason,Free roam,Stray Prob,Pop control,Onset Treat,World Day,Kill strays,Report Outbreak,Kill own,VSD Vacc,Good job,Support,Community,Information,Vacc Control,,,,,,,,,,,,,,
12,TAKORADI,1,24,1,3,1,1,4,0,1,1,0,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,2,1,0,1,1,2,1,0,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
13,BEACH RD.,1,24,1,3,1,1,7,3,1,0,0,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,2015,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,1,1,1,0,1,0,1,1,2,2,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,
14,NKOTOMPO,1,24,1,2,1,6,6,0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,4,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,0,1,0,1,2,0,2,,,,,,,,,,,,,,
15,FIJAI,1,47,1,3,1,5,7,2,1,0,0,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,1,1,2018,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,2,1,1,1,0,1,0,1,1,1,0,1,1,,,,,,,,,,,,,,
16,QUARTERS,1,19,0,3,1,1,3,1,1,0,0,1,0,1,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,1,2,2,0,2,1,1,1,1,1,1,2,1,0,1,1,2,2,0,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,
17,NGYERESIA SEKONDI,1,36,0,3,1,2,3,2,1,0,0,1,1,1,0,0,0,5,0,1,1,1,1,1,1,1,0,1,1,2017,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,4,1,1,1,1,2,0,1,2,2,2,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
18,SEKONDI,1,42,0,1,1,5,2,1,1,0,0,1,1,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NEW TADI,1,24,0,2,1,1,6,4,1,0,0,1,1,0,0,0,0,5,0,1,1,0,0,1,0,0,0,1,1,2018,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,4,1,1,0,0,1,1,2,1,1,0,1,0,0,1,1,1,0,1,0,2,1,0,0,1,1,1,2,0,1,1,2,1,,,,,,,,,,,,,,
20,EUROPEAN TOWN,1,47,1,3,1,3,7,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,1,1,,2,0,2,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
21,ADIEMBRA,1,51,1,1,2,6,5,0,1,0,1,1,0,1,0,1,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,4,1,1,1,1,2,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,
22,QUARTERS,1,12,1,1,1,1,5,1,1,0,0,1,1,0,0,0,0,2,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,1,0,0,1,2,2,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,
23,KOMFOASE,1,13,1,2,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,1,0,1,1,0,0,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,1,2,0,1,,,,,,,,,,,,,,
24,KWEIKUMA,1,62,1,3,1,6,6,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,4,1,1,1,0,1,0,1,2,2,2,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,,,,,,,,,,,,,,
25,KANSARODO,1,53,0,2,1,6,3,1,1,0,0,1,1,1,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,KETAN,1,35,1,3,1,3,6,0,1,0,1,1,1,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,4,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,
27,BEACH RD.,1,55,1,3,1,3,7,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2018,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
28,KWEIKUMA,1,43,1,3,1,3,12,2,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,1,0,1,0,1,1,2018,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,2,2,1,2,0,1,,,,,,,,,,,,,,
29,NEW TADI,1,45,0,1,1,2,6,0,1,0,0,1,0,1,1,0,0,5,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,4,1,1,1,2,2,1,1,0,2,2,1,1,0,1,1,1,2,1,0,,1,0,0,1,1,1,0,0,1,2,1,1,,,,,,,,,,,,,,
30,TAKORADI,1,27,0,2,1,1,10,0,1,0,0,1,1,1,1,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SEKONDI,1,56,0,3,1,3,6,2,1,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,1,2017,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
32,FIJAI,1,37,1,3,1,3,4,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2018,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,
33,NEW TADI,1,18,0,2,1,1,5,2,1,0,0,1,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,2017,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,2,1,1,2,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,2,0,1,2,0,1,,,,,,,,,,,,,,
34,QUARTERS,1,22,1,3,1,1,3,2,1,0,0,1,0,0,1,0,0,5,0,1,1,1,1,1,1,1,0,1,1,2018,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,2,1,1,2,1,0,0,0,0,1,1,1,1,1,2,1,1,0,1,1,2,0,0,1,0,1,1,1,0,0,1,,,,,,,,,,,,,,
35,CHAP. HILL,1,24,0,3,1,0,6,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,4,1,0,1,0,1,0,0,0,1,2,1,,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,,,,,,,,,,,,,,
36,SEKONDI,1,43,0,1,1,5,10,0,1,0,0,1,1,1,0,0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,1,1,1,1,0,1,0,0,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,
37,SEKONDI,1,21,1,3,1,1,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2017,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,2,1,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
38,TAKORADI,1,59,0,1,1,3,3,0,0,0,0,1,1,1,0,0,0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
39,KWEIKUMA,1,21,0,3,1,1,6,2,0,0,0,1,1,0,0,0,0,2,0,1,1,0,1,1,1,0,0,1,1,2017,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,4,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
40,ESSIKADO,1,59,1,3,1,3,5,2,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0,0,1,1,2017,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,2,2,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,2,,,,,,,,,,,,,,
41,QUARTERS,1,54,1,3,1,3,5,3,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,0,2,1,0,1,1,,,,,,,,,,,,,,
42,CHAP. HILL,1,24,0,3,1,3,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,1,1,0,1,1,0,0,2,2,1,1,1,1,2,2,2,1,0,1,1,1,1,1,0,2,1,1,1,0,1,,,,,,,,,,,,,,
43,MPINSTIN,1,34,0,3,1,5,4,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,2017,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,
44,JAMES TOWN,1,32,1,3,1,3,30,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,2,2,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
45,QUARTERS,1,25,0,2,1,2,15,4,0,0,0,1,0,0,0,0,0,4,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1,1,1,0,1,0,1,2,2,2,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,0,0,1,2,0,2,,,,,,,,,,,,,,
